bushou,key
龹,q
犭,q
欠,q
求,q
王,w
攵,w
卩,e
阝,e
耳,e
人,r
亻,r
彳,r
日,r
曰,r
土,t
田,t
㇀,t
讠,y
又,y
月,y
衤,y
页,y
缶,y
雨,y
音,y
㐆,y
十,u
扌,u
山,u
饣,u
礻,u
石,u
止,i
竹,i
舟,i
隹,i
手,o
舌,o
身,o
尸,o
彡,p
丿,p
鱼,a
一,a
厶,s
纟,s
龴,s
冫,d
刂,d
氵,d
大,d
灬,d
丶,d
方,f
父,f
广,g
弓,g
革,g
骨,g
㇆,g
𠃋,g
𠃊,g
□,g
亅,g
㇉,g
𠄌,g
火,h
户,h
禾,h
虍,h
巾,j
斤,j
钅,j
角,j
𠔉,j
匚,k
冂,k
口,k
囗,k
⺆,k
力,l
立,l
𤇾,l
丨,l
廴,z
辶,z
孑,z
爫,z
走,z
足,z
𢦏,z
忄,x
夕,x
小,x
心,x
穴,x
西,x
𦥯,x
寸,c
艹,c
厂,v
车,v
虫,v
齿,v
冖,b
八,b
勹,b
宀,b
白,b
疒,b
㡀,b
𠤏,b
女,n
牜,n
鸟,n
门,m
马,m
木,m
目,m
罒,m
皿,m
米,m
㓁,m
乀,n
乁,j
乙,y
乚,y
乛,v
二,d
丁,h
丅,m
丂,k
七,q
匸,x
丄,u
卜,p
乂,y
入,r
九,j
儿,y
几,j
匕,b
亠,t
丷,b
刁,d
丩,j
了,l
凵,k
乃,n
刀,d
三,s
于,w
干,g
士,m
工,g
卄,n
才,z
下,x
廾,g
兀,w
尢,u
与,y
万,m
弋,y
上,d
千,q
乞,v
川,v
丸,w
久,j
夂,n
丬,p
亡,w
彐,j
己,j
已,s
巳,s
子,l
屮,c
也,y
刃,r
习,x
叉,v
彑,j
乡,i
幺,k
巛,v
丰,f
井,j
开,z
天,t
夫,f
元,y
韦,j
云,y
耂,l
扎,i
廿,l
五,u
支,i
卅,g
不,f
太,t
犬,q
区,q
厷,g
尤,y
歹,d
厄,e
戸,h
巨,j
牙,y
屯,t
戈,v
旡,j
比,p
切,q
瓦,w
卝,g
少,u
冃,m
中,i
内,j
冈,g
水,u
罓,q
贝,b
见,j
午,w
牛,n
毛,b
气,q
升,u
夭,y
片,p
化,h
爪,v
戶,b
仌,b
从,c
爻,x
尣,l
今,j
凶,x
分,b
公,j
仓,c
厃,y
氏,j
勿,h
风,f
丹,d
乌,u
卬,a
文,w
亢,g
冘,y
肀,y
尹,y
夬,j
尺,v
弔,d
丑,v
爿,p
巴,b
队,d
夃,g
予,y
玉,y
未,w
末,m
示,i
戋,j
正,i
卉,u
圥,y
功,g
去,q
甘,h
世,u
丗,f
古,k
本,b
术,u
札,m
朮,u
可,i
叵,p
丙,b
左,z
厉,l
丕,h
达,d
戊,w
龙,l
犮,b
东,d
北,b
占,t
⺄,g
⺈,j
⺊,b
⺌,d
⺕,e
⺼,y
〢,d
コ,k
ユ,k
リ,d
㇂,g
㇇,g
𫜹,e
𱥱,d
𱰭,g
𱼀,x
𲂻,b
𲋄,k
𠃍,g
𠃑,g
𠂉,z
𠂊,x
𠄎,n
𫠠,g
𬺰,g
𬼀,d
龵,u
𠂋,j
𠂎,m
𠓛,r
𠚤,d
𠫔,s
𫝀,w
𬼖,y
𭕄,d
𰀁,f
𰃦,k
㞢,i
龶,f
𠂒,u
𠃜,u
𠔿,u
𠕀,k
𠮛,k
𡗜,d
𡭕,x
𭃂,l
𰀡,d
龷,x
龸,x
𠀐,v
𤕫,z
𤴔,i
𦉰,w
𬜠,c
𮍌,v
𰀉,n
𰀢,l
𰃮,x
𠕋,c
𠫤,x
𢑑,e
𣅀,i
𤰔,m
𥘈,s
𥫗,i
𦈢,f
𦍋,m
𦣞,k
𦫸,c
𫇦,c
𭅰,h
𭤨,f
𰁜,l
𰰜,c
𣏐,m
𦥔,u
𧾷,z
𪧇,b
𫲽,b
𰭝,y
𠦝,i
𠧢,i
𡘆,d
𢼄,h
𨸏,f
𫼉,h
𭑈,t
𰧭,k
𡧱,h
𣅽,p
𦭝,m
𩠐,g
𭴘,d
𮂱,h
𠂹,q
𣪊,h
𥑟,d
𭆆,v
𰮤,y
𤉘,h
𥞤,g
𦰩,c
㫺,r
𦵮,c
𮅕,i
𰯲,v
𬴘,y
𣦵,x
⺀,d
⺝,y
〣,l
ス,j
㇁,p
㇄,g
㇅,g
㇈,k
𱍸,g
𱎛,r
𱐍,m
𱐔,r
𱑏,f
𱔞,k
𱕻,k
𱜢,u
𱝼,s
𱢒,r
𱤽,g
𱥯,r
𱬹,c
𱰥,a
𱺵,a
𱼧,p
𱼭,t
𠃎,g
𠃏,g
𰀪,p
𰆊,d
恩,e
